 Рыбы | 14 сентября \n \nРыб нельзя заменить ни...
 Рыбы | 10 марта \n\nС возрастом Рыбе все трудн...
 Рыбы | 9 марта \n\nВ этот день вам обязательно...
 8 марта\n\nЕсли появился повод для праздника, ...
 Рыбы | 7 марта \n\nНастроение охуенное. Удача ...
 Рыбы | 6 марта \n\nКогда ваши мечты будут силь...
 Рыбы | 5 марта \n\nИ вот! Сразу после того, ка...
 4 марта \n\nОт работы дохнут кони, а вам стоит...
 3 марта \n\nКруг ваших знакомств расширится оя...
 2 марта \n\nПредстоит медленный круговорот пиз...
 1 марта \n\nВ этот день вы будете в охуительне...
 29 февраля \n\nКак невероятно звучат слова люб...
 28 февраля \n\nСегодня лучший день недели для ...
 27 февраля \n\nВам стоит отвлечься от надуманн...
 26 февраля \n\nВы сегодня получите то, о чём д...
 25 февраля \n\nСегодня надо ответственно подой...
 24 февраля \n\nВаше упорное желание нихуя не м...
 23 февраля \n\nРыбы решили, пусть всё будет та...
 22 февраля \n\nСегодня вы метите на место лиде...
 21 февраля \n\nЛучшее время для того, чтобы на...
 21 февраля \n\nЛучшее время для того, чтобы на...
 20 февраля \n\nЕсли кто-то пытается вас убедит...
 19 февраля \n\nВы одерживаете неимоверно жёстк...
 18 февраля \n\nПришло время великих ахуительны...
 17 февраля \n\nДень действительно охуенен, сто...
 16 февраля \n\nВы встретите что-то, что нихуя ...
 15 февраля \n\nВесы хотят так: сидишь, никого ...
 14 февраля \n\nНичего не меняйте в себе и своё...
 13 февраля \n\nНе стоит слишком торопить событ...
 12 февраля \n\nСегодня будет ох как жарко! Вам...
 11 февраля \n\nЧем шире вы откроете сегодня дв...
 10 февраля \n\nВоспользуйтесь возможностью в э...
 9 февраля \n\nСегодня вы встретите того, кто в...
 8 февраля \n\nРыбы будут счастливы, всем вам н...
 7 февраля \n\nЕбать как вы охуенны, охуенны ка...
 6 февраля \n\nРыбы просто хотят быть чьим-то с...
 5 февраля \n\nКто-то положил на вас глаз и вы ...
 4 февраля \n\nВы сегодня без особых усилий зас...
 3 февраля \n\nДоверьтесь своему человечку! Оку...
 2 февраля \n\nТрудно найти контакт с окружающи...
 1 февраля \n\nНаслаждайтесь моментом, блять! И...
 31 января \n\nВы полны энтузиазма и позитивных...
 30 января \n\nСамое приятное – переживать что-...
 29 января \n\nВашей жизни не хватает остроты! ...
 28 января \n\nВозможны новые романтические увл...
 27 января \n\nРаспланировав день с самого утра...
 26 января \n\nАхуительно удачный день, позволи...
 25 января \n\nВот теперь-то у вас всё будет ох...
 24 января \n\nУ Рыб нормальный характер. Это у...
 23 января \n\nЧто бы ни творилось в вашей душе...
 22 января \n\nНу я, блять, охуел просто! В рус...
 21 января \n\nУ Рыб есть такой человек, к кото...
 20 января \n\nРыбы, теперь всё по-другому.\nИ ...
 19 января \n\nУдивительным образом все складыв...
 18 января \n\nВы либо добьетесь желаемого, либ...
 17 января \n\nЖдите «смски-обосцаки» - хорошей...
 16 января \n\nВам удаётся наконец-таки справит...
 15 января \n\nРазберитесь со своими тараканами...
 14 января \n\nВаша вертихвосткость и кокетство...
 13 января \n\nРыбам лучше что-то изменить в се...
 12 января \n\nНу что ж, без очков заметно, что...
 11 января \n\nУ Рыб всё логично и понятно. Жал...
 10 января \n\nГотовы вы или нет, но сегодня яв...
 9 января \n\nПоздравляю, с самого утра удача в...
 8 января \n\nСтранное состояние... \nхочется т...
 7 января \n\nРыбы из тех сумасшедших, кому ещё...
 6 Января\n\nРомантика с самолётах и в автомоби...
 5 Января.\n\nВам не удаётся усидеть на месте и...
 4 января \n\nВас посетит нереальное количество...
 3 января.\n\nВсё красиво и классно! Настроение...
 1 января \n\nНе решайте проблемы за других и н...
 31 декабря \n\nУдивительным образом все склады...
 30 декабря \n\nВот теперь-то у вас всё будет х...
 29 декабря \n\nЖизнь она пиздец какая полосата...
 28 декабря \n\nВы как Феррари. Оставишь без пр...
 27 декабря \n\nНа что бы вы сегодня не согласи...
 26 декабря \n\nНа вас может напасть гордыня! Э...
 25 декабря \n\nНеприятности сегодня обойдут ва...
 24 декабря \n\nКак долго вы собираетесь отверг...
 23 декабря \n\nВы охуительно привлекательны. В...
 22 декабря \n\nВы куда-то проебали совесть и в...
 21 декабря \n\nСегодня вы обязательно придумае...
 20 декабря \n\nВаш похуизм сегодня вам поможет...
 19 декабря \n\nВот он день вашей мечты, ребята...
 18 декабря.\n\nДень просто охуенен сам по себе...
 17 декабря \n\nИ чем становимся мы старше, тем...
 16 декабря \n\nДень обещает быть насыщенным! Е...
 15 декабря \n\nДел дохуя, времени нихуя. Выбир...
 14 декабря\n13 декабря (воскресенье)\n\nНастал...
 13 декабря \n\nУ Рыб нормальный характер. Это ...
 12 декабря \n\nСо старой хуйней наконец-то пок...
 11 декабря \n\nСегодня будут большие перемены....
 10 декабря \n\nОбаяние ваше велико, и это увел...
 9 декабря \n\nУ Вас одна любовь, и ваша полови...
 8 декабря \n\nЗабейте на чувство вины, если ва...
 7 декабря \n\nВаше очарование непременно замет...
 6 декабря \n\nФортуна наконец-таки улыбнулась ...
 5 декабря \n\nСегодня возникнет непреодолимое ...
 4 декабря \n\nСегодня вам надо быть настойчиве...
 3 декабря \n\nСегодня вам надо быть настойчиве...
 2 декабря \n\nНе стоит бояться возможных неуда...
 1 декабря \n\nВаши личные переживания и пробле...
 30 ноября \n\nХорошо когда все хорошо. И вы эт...
 29 ноября \n\nВы обояшка. Нет, вы реально сего...
 28 ноября \n\nУ вас будет дох*я планов и энерг...
 27 ноября \n\nПридётся принять решение. И ника...
 26 ноября \n\nАе! Ярких эмоций и незабываемых ...
 25 ноября \n\nХотите вы этого или нет, но сего...
 24 ноября \n\nВам понадобятся свежие впечатлен...
 23 ноября \n\nКак же вы скучали по тому, чей г...
 22 ноября \n\nРыбам дох*я не надо. Им бы любов...
 21 ноября \n\nКак-то всё туманно и нихуя не яс...
 20 ноября \n\nПопытайтесь избавиться от вредны...
 19 ноября \n\nА Рыбы-то как Феррари. \nОставиш...
 18 ноября \n\nЛюбовные проблемы в одиночку не ...
 17 ноября \n\nСоблазн проявить инициативу в ли...
 16 ноября \n\nРыбы сегодня демонстрируют исклю...
 15 ноября \n\nВы склонны к бескомпромиссности ...
 14 ноября \n\nДень пройдёт под знаком любви и ...
 13 ноября \n\nНа вас может напасть гордыня! Эт...
 12 ноября \n\nСобытия дня заставляют улыбаться...
 11 ноября \n\nВечером обязательно как следует ...
 10 ноября \n\nЕсли Рыбы пишут - значит они сос...
 9 ноября \n\nПиздец как трудно принять решение...
  8 ноября\n\nКажется, кто-то серьёзно намерен ...
 7 ноября \n\nСкоро к вам вернется человек, кот...
 6 ноября \n\nНа три вещи сегодня можно смотрет...
 5 ноября \n\nВ течение ближайшего времени радо...
 4 ноября \n\nС самого утра вы поймёте кто сего...
 3 ноября \n\nСегодня человек, который отказалс...
 2 ноября \n\nГрядут нихуевые перемены к лучшем...
 1 ноября \n\nРыбам очень хочется тёплых объяти...
 31 октября \n\nДа, Рыбы бывают вредные! Хамят....
 30 октября\n\nРыбы, в вас кто-то сильно влюбил...
 29 октября\n\nВы давно не уделяли внимание здо...
 28 октября \n\nСегодня работодатель, вероятно,...
 27 октября\n\nВокруг вас друзья и всё будет ох...
 26 октября\n\nВас ожидает нихуёвая новость, по...
 25 октября\n\nКажется у вашей второй половинки...
 24 октября\n\nВы способны найти ключ к любому ...
 23 октября\n\nВсё с самого утра станет на рель...
 22 октября\n\nВы сегодня магнит для привлечени...
 21 октября\n\nСегодня мечтать не возбраняется....
 20 октября\n\nГлядя на вас, хочется спросить: ...
 19 октября\n\nДень охерительно подходит для пр...
 18 октября\n\nНе поддавайтесь на соблазны. Воз...
 17 октября\n\nУ Рыб всё ровно, приключений на ...
 16 октября\n\nСегодня ваша привлекательность п...
 15 октября\n\nВот теперь-то у вас всё будет хо...
 14 октября\n\nБудьте сегодня активным человеко...
 13 октября\n\nВас ожидает встреча, о которой в...
 12 октября\n\nСегодня в вашу сторону летит дох...
 11 октября\n\nНе смотря на то, что у всех слюн...
 10 октября\n\nВсё может измениться и удача пов...
 9 октября \n\nСегодня Рыбы будут самые счастли...
 8 октября\n\nУтром урегулируйте конфликты на р...
 7 октября\n\nЛучшее время для того, чтобы нача...
 6 октября\n\nВы находитесь на пороге какого-то...
 5 октября\n\nНе ревнуйте Рыб и не сомневайтесь...
 4 октября\n\nВы либо взойдете на трон как ебуч...
 3 октября\n\nРыбы не ищут лучших, они и так их...
             2 октября\n\nРыбы неудачно влюбились.
 1 октября\n\nСудьба сведет вас с нужным челове...
 30 сентября\n\nНавалившиеся на работе дела не ...
 29 сентября\n\nДа пошло оно всё нахуй. Забебал...
 28 сентября\n\nСегодня вам следует быть жестки...
 27 сентября\n\nДень просто охуенен сам по себе...
 26 сентября\n\nТяжело сохранять терпение, ведь...
 25 сентября\n\nК вам стремительно хуярит ветер...
 24 сентября\n\nВы сверх идеальны. И ваше сердц...
 23 сентября\n\nПора вступить на ступеньку уход...
 22 сентября\n\nВы будете полностью готовы к св...
 21 сентября!\n\nРыбы устали писать сообщения и...
 20 сентября \n\nА Рыбы будут счастливы, всем в...
 19 сентября\n\nХватить хвататься за всё подряд...
 18 сентября\n\nПеремены уже близко и несомненн...
 17 сентября \n\nВаше сердце может выдержать бо...
 16 сентября\n\nОх уж эти беседы до утра. Лучше...
 15 сентября\n\nВокруг тишь да гладь, а вам пиз...
 14 сентября\n\nРыб нельзя заменить никем и ник...
 13 сентября\n\nРыбы сели бы в машину, плюнули ...
 12 сентября\n\nВы хорошо выносите мозг всем уб...
 11 сентября\n\nЭмоции сегодня будут нихуёво бу...
  10 сентября\n\nРазвратный четверг. Будет горячо!
 9 сентября\n\nВас ожидают приятные знакомства,...
 8 сентября\n\nРазберитесь со своими тараканами...
 7 сентября\n\nНе спрашивайте у Рыб: Почему у н...
 6 сентября\n\nУчёба действительно заебала. Так...
 5 сентября\nПора завести ежедневник и записыва...
 4 сентября\n\nРядом нет, но в мыслях постоянно...
 3 сентября\n\nНадо мыслить позитивно. Думать о...
 2 сентября\n\nСегодня вы охуенно понимаете люд...
 1 сентября\n\nЕсли знаешь, что не сможешь выпо...
 31 августа\n\nСегодня самый удачный день прове...
 30 августа\n\nВы откроете что-то новое и сходу...
 29 августа\n\nУ вас появится нихуёвый выбор. З...
 28 августа\n\nВас ожидает неожиданное любовное...
 27 августа\n\nВы сегодня получите дозу радости...
 26 августа\n\nСегодня именно вы находитесь в ц...
 25 августа\n\nОх уж эти беседы до утра. Лучше ...
 24 августа\n\nРомантика с самолётах и в автомо...
 23 августа\n\nСегодня все у ваших ног! Творите...
 22 августа\n\nНастало время найти себя, опреде...
 21 августа\n\nВы желаете начать что-то грандио...
 20 августа\n\nПроведите день в кругу семьи. Ма...
 19 августа\n\nНадо жить так, как жили в детств...
 18 августа\n\nБудущее формируется из ваших грё...
 17 августа\n\nВечер категорически не подходит ...
 16 августа\n\nНу вот и заебись же! Возрадуйтес...
 15 августа\n\nВы не зависите от других и сегод...
 14 августа\n\nВы не зависите от других и сегод...
 13 августа\n\nБудьте бдительны, охотник или ох...
 12 августа\n\nНехуй сомневаться, вы почти приш...
 11 августа\n\nЛучший день для совершения мелки...
 10 августа\n\nНе пытаетесь казаться лучше, чем...
 9 августа\n\nНапомнит о себе человек, по котор...
 8 августа.\n\nВашему любимому человеку можно п...
 7 августа.\n\nХорошие новости и заебатые сюрпр...
 6 августа.\n\nСегодня вы вряд ли будете способ...
 5 августа.\n\nМимолётное увлечение, но зато бл...
 4 августа\n\nРомантическая связь связь сегодня...
 3 августа\n\nВы ловко и неожиданно хуйнёте так...
 2 августа\n\nУлучшатся отношения с любимым чел...
 1 августа\n\nВами пытаются манипулировать знат...
 31 июля\n\nВесь день охуенно себя чувствуете, ...
 30 июля\n\nВсе будут пытаться вставлять вам па...
 29 июля\n\nНе ленитесь на работе! Ваш потенциа...
 28 Июля\n\nС Самого утра вы поймёте кто сегодн...
 27 июля.\n\nЛюди, пока не стало поздно,\nговор...
 26 июля.\n\nВаши желания и планы сбудутся, а ж...
 25 июля.\n\nВас очень хотят крепко обнять и ст...
 Рыбы\n\nВас очень хотят крепко обнять и страст...
 23 июля.\n\nРыбы просто умеют ждать и\nим всег...
 22 июля.\n\nВы в ответе за вашего любимого чел...
 21 июля \n\nНастало время найти себя, определи...
 20 июля\n\nРыбки плавают в море любви, и выход...
 19 июля\n\nВаше упрямство может обернуться для...
 18 июля\n\nВас может неожиданно посетить интуи...
 17 июля\n\nЧем чаще вы будете думать что всё о...
 16 июля\n\nНе поддавайтесь на соблазны. Возмож...
 15 июля\n\nЗима в душе меняется на солнечное ж...
 14 июля\n\nЗабейте на то, что не все понимают ...
 13 июля\n\nВскоре вы встретите того, кто вдохн...
 12 июля\n\nОтдайте предпочтение старым-добрым ...
 11 июля\n\nСегодня вам остается, только наслаж...
 10 июля\n\nСегодня вы можете пассивно следить ...
 9 июля\n\nВам нужен человек, который одобрит и...
 8 июля\n\nЛегкий, удачный и приятный день. Вы ...
 7 июля\n\nЛучший день недели! Неожиданно все в...
 6 июля\n\nДень охерительно подходит для того, ...
          5 июля\n\nВас ожидают крепкие отношения.
 4 июля\n\nОбщение, общение и ещё раз общение. ...
 3 июля\n\nВаше обаяние и стать заставят сегодн...
 2 июля\n\nСегодня вы совершенно безупречно оху...
 1 июля\n\nПроведите день так, чтобы не мучатся...
 30 июня\n\nЭто будет самый охуительный за посл...
 29 июня\n\nКопаясь в мелких, пусть даже и нема...
 28 июня\n\nТак как вы нихуя точно не знаете – ...
 27 июня\n\nУ вас всё будет замечательно. Да, п...
 26 июня\n\nОбщение, общение и ещё раз общение....
 25 июня\n\nПолёт вашей мысли слегка превосходи...
 24 июня\n\nВсё будет охуительнее обычного. Да ...
 23 июня\n\nВсё будет охуительнее обычного. Да ...
 22 июня\n\nСегодня вам в одиночку не справитьс...
 21 июня\n\nТак как вы нихуя точно не знаете – ...
 20 июня\n\nНа ваше внимание претендуют все, и ...
 19 июня\n\nЛегкий, удачный и приятный день. Вы...
 18 июня\n\nБудьте готовы к поворотам фортуны, ...
 17 июня\n\nНа ваше внимание претендуют все, и ...
 16 июня\n\nСегодня самое время разъебать копил...
 15 июня\n\nХорошие новости и заебатые сюрпризы...
 14 июня\n\nВы сегодня как пират в поисках сокр...
 13 июня\n\nНе обращайте внимание на шавок, кот...
 12 июня\n\nДайте волю эмоциям, хватит держать ...
 11 июня\n\nВас любят не на шутку! Кончайте выд...
 10 июня\n\nВсё красиво и классно! Настроение з...
 9 июня\n\nВсё чётко, красиво и заебато. У вас ...
 8 июня\n\nСегодня вам захочется перемен. И пос...
 7 июня\n\nНаступит некоторое противоречие межд...
 6 июня\n\nЛюди, умейте признаваться Рыбам, что...
 5 июня\n\nОчень удачный и легкий день, события...
 4 июня\n\nПришла блять та самая пора, когда ст...
 3 июня\n\nВсе телефонные и другие разговоры се...
 2 июня\n\nПостарайтесь с пониманием отнестись ...
 1 июня\n\nВ поисках внимания будьте бдительны,...
 31 мая\n\nСегодня вас спасет лишь терпение, те...
 30 мая\n\nВы наблюдаете картину, что вас в чем...
 29 мая\n\nКрасиво. Одно слово характеризует ве...
 28 мая\n\nВы хуярите вперёд и только вперёд! В...
 27 мая\n\nЭтот день охуенен. Он связан с прият...
 26 мая\n\nПроблема в том, что вы не можете влю...
 25 мая\n\nОбаяние ваше велико, и это увеличива...
 24 мая\n\nВы как котик на посередине автострад...
 23 мая\n\nПодведите итоги. Сядьте, подумайте, ...
 22 мая\n\nВас кто-то очень любит. А вы нихуя э...
 21 мая\n\nРыба всему голова, все заебком прохо...
 20 мая\n\nЛюди херово ведут себя, а потом хотя...
 19 мая\n\nСегодня вы ранимы и чувствительны. М...
 18 мая\n\nВы желаете начать что-то грандиозное...
 17 мая\n\nВаша энергичность фанатично работает...
 16 мая\n\nРазберитесь в своих чувствах. В ваше...
 15 мая\n\nВскоре Рыбы будут вознаграждены за с...
 14 мая\n\nВы сегодня рыба моей мечты! Вы прост...
 13 мая\n\nВ этот день очень важно сохранить хо...
 12 мая\n\nЗвезды сошлись на вашем знаке чтобы ...
 11 мая\n\nВас ожидает борьба с собственной лен...
 10 мая\n\nОсторожнее с новыми знакомствами. Вы...
 9 мая\n\nХватит осторожничать! Пора рисковать!...
 8 мая\n\nВаша половинка очень трепетно к вам о...
 7 мая\n\nВот знаете что? А пошло оно все нахер...
 6 мая\n\nРыбам надо чтобы их крепко обняли и з...
 5 мая\n\nРыбы просто придите и заберите. Без л...
 4 мая\n\nЛучший день недели! Неожиданно все во...
 3 мая\n\nЧем чаще вы будете думать что всё оху...
 2 мая\n\nВ общем-то вам сегодня будет чему пор...
 1 мая\n\nВаша энергичность фанатично работает ...
 30 апреля\n\nРыбки умеют любить. И кто-то ниху...
 29 апреля\n\nВас ждет то, о чем вы мечтали и о...
 28 апреля\n\nВот знаете что? А пошло оно все н...
 27 апреля\n\nКогда вы впервые встретились, вы ...
 26 апреля\n\nРыбам пох*й на тех, кто уходит из...
 25 апреля\n\nВ течении ближайшего времени радо...
 24 апреля\n\nРыбки умеют любить. И кто-то ниху...
 23 апреля\n\nРыбы несут людям 100 тонн счастья...
 22 апреля\n\nУ Рыбок наступает такой момент, к...
 21 апреля\n\nРыба всему голова, все заебком пр...
 20 апреля\n\nРыбок нельзя обижать. Иначе всем ...
 19 апреля\n\nДень раздумий. Определиться со св...
 18 апреля\n\nРыбы несут людям 100 тонн счастья...
 17 апреля\n\nВ вашу жизнь придет что-то новое....
 16 апреля \n\nРыбы, помните сегодня: не выбира...
 15 апреля\n\nБыть свободным охуенно, но Рыбам ...
 14 апреля\n\nСегодня вы сможете заниматься огр...
 13 апреля\n\nРыбки плавают в море любви, и вых...
 12 апреля\n\nСегодня именно вы находитесь в це...
 11 апреля\n\nБерегите Рыбок, они настоящие и и...
 10 апреля\n\nВы сегодня будете лидером, даже е...
 9 апреля\n\nПостоянно ссориться, но безумно лю...
 8 апреля\n\nСегодня вы сможете заниматься огро...
 7 апреля. \n\nСегодня самое время разъебать ко...
 6 апреля\n\nВся хотят вас! Ой как сильно хотят...
 5 апреля\n\nСамые красивые поступки сегодня бу...
 4 апреля\n\nБывает, когда всё решается в после...
 3 апреля\n\nЭто будет самый охуительный за пос...
 2 апреля\n\nЛюди, говорите Рыбам сразу все, чт...
 Рыбы, 1 апреля\n\nСегодня не беритесь за фуфло...
 31 марта\n\nУ вас будет охуенное настроение! Л...
 30 марта\n\nВскоре вы встретите того, кто вдох...
 29 марта\n\nХватит играть с удачей в перетяни ...
 28 марта\n\nВезде, где можно кого-нибудь покор...
 27 марта\n\nВ этот день вы легко примите решен...
 26 марта\n\nВаша половинка очень трепетно к ва...
 25 марта\n\nВсё чётко, красиво и заебато. У ва...
 24 марта\n\nБыть свободным охуенно, но Рыбам х...
 23 марта\n\nНапомнит о себе человек, по которо...
 22 марта \n\nЧем чаще вы будете думать что всё...
 21 марта\n\nУ Рыбок наступает такой момент, ко...
 20 марта\n\nОбаяние ваше велико, и это увеличи...
 19 марта\n\nЭто будет самый охуительный за пос...
 18 марта\n\nРыбам надо чтобы их крепко обняли ...
 17 марта\n\nСегодня вам надоест рутина и захоч...
 16 марта\n\nВы хуярите вперёд и только вперёд!...
 15 марта\n\nСегодня дорогой вам человек может ...
 14 марта\n\nВас ожидает нихуёвая новость, полу...
 13 марта\n\nАхуенный день. Не тратьте его впус...
 12 марта\n\nСила, которую вы сегодня обретете,...
 11 марта\n\nБывает, когда всё решается в после...
 10 марта\n\nСегодня самое время разъебать копи...
 9 марта\n\nВы находитесь во власти эмоций и не...
 8 марта\n\nСегодня вы ранимы и чувствительны. ...
 7 марта\n\nНе обращайте внимание на шавок, кот...
 6 марта\n\nОтдайте предпочтение старым-добрым ...
 5 марта\n\nАхуенный день. Не тратьте его впуст...
 4 марта\n\nИсправьте то, что вы натворили нака...
 3 марта \n\nВас ожидает неожиданная и и приятн...
 2 марта\n\nСила, которую вы сегодня обретете, ...
 1 марта\n\nНа вашем пути могут встретится уныл...
 28 февраля\n\nРыба всему голова, все заебком п...
 27 февраля \n\nРыбам пох*й на тех, кто уходит ...
 26 февраля.\n\nРыбы ненавидят, когда обещают и...
 25 февраля\n\nОчень тяжело добиться от Рыб вза...
 24 февраля \n\nРыбы - кто-то до сих пор не мож...
 23 февраля\n\nРыбам нужно срочно забухать,\nРе...
 22 февраля.\n     \nВы устали быть сильной... ...
 21 февраля. \n\nЭтот день может стать сложным ...
 20 февраля \n\nВы сегодня просто очаровашки, о...
 19 февраля.\n\nВы очень сильно кому-то нужны, ...
 18 февраля.\n\n Рядом нет, но в мыслях постоян...
 17 февраля.\n\nРыбы улыбаются всем, дружат с и...
 16 февраля.\n\nОт судьбы не уйдешь, и те люди,...
 15 февраля.\n\nВас ждет то, о чем вы мечтали и...
 14 февраля.\n\nКогда вы впервые встретились, в...
 13 февраля.\n\nРыбы ревнуют - тихо, обижаются ...
 12 февраля.\n\nВас ожидает очень приятный сюрп...
 11 февраля.\n\nРыбы ревнуют - тихо, обижаются ...
 10 февраля.\n\nВам нужен не тот, кто будет гов...
 9 февраля\n\nРыб ждет счастливое событие, связ...
 7 февраля\n\nРыбы — Ваша жизнь превратится в о...
 6 февраля\n\nРыбы - Боженька решил над Вами см...
 5 февраля\n\nСегодня Рыб лучше не злить - риск...
 4 февраля\n\nРыбы за*бались быть сильными! Они...
 3 февраля\n\nРыбы - кто-то до сих пор не может...
 2 февраля\n\nС одной стороны, вы будете в цент...
 1 февраля.\n\nЛюди, умейте признаваться Рыбам,...
 31 января\n\nНе отказывайте себе провести этот...
 30 января\n\nСегодня вам остается, только насл...
 29 января\n\nДень удачный и благоприятный для ...
 28 января\n\nВсё будет охуительнее обычного. Д...
 27 января\n\nДень, когда Рыбам нужно выйти на ...
 26 января\n\nВсе телефонные и другие разговоры...
 25 января\n\nУ Рыбы в жизни появится такой чел...
 24 января\n\nДень будет полон неожиданностей! ...
 23 января\n\nДень удачный для вас, вы проведет...
 22 января\n\nСегодня вы вновь обретете несколь...
 21 января\n\nВозможно сегодня в вашем окружени...
 20 января\n\nНе исключено, что в этот день Рыб...
 19 января\n\nСегодня вас спасет лишь терпение,...
 17 января\n\nСегодня вам надоест рутина и захо...
 16 января\n\nСегодня вам остается, только насл...
 15 января\n\nСегодня будут происходить великие...
 14 января\n\nРыбы, он с каждым днем\nстановитс...
 13 января\n\nЛюди, говорите Рыбам сразу все, ч...
 12 января\n\nЕбать за вами идет охота!Кто то в...
 11 января. \n\nЖелания сбываются. День пролети...
 10 января. \n\nВам нужен покровитель или нихуе...
 9 января. \n\nДень раздумий. Определиться со с...
 8 января. \n\nПодготовьте снасти для ловли уда...
 7 января. \n\nНу хуля. вы кузнец. Своего счаст...
 6 января. \n\nВ поисках внимания будьте бдител...
 5 января. Рыбы\n\nХорошие новости и заебатые с...
 4 января. Рыбы\n\nВы легко приобретаете власть...
 1 января. \n\nОтмочитос в стиле охуитос! Весел...
 31 декабря. \n\nВсё красиво и классно! Настрое...
 30 декабря. \n\nНекоторые рыбы примут очередно...
 29 декабря. \n\nНа вашем пути могут встретится...
 28 декабря. \n\nДайте волю эмоциям, хватит дер...
 27 декабря. \n\nВас хотят видеть и там и там, ...
 26 декабря. \n\nВы либо добьетесь желаемого, л...
 25 декабря \n\nНе верьте нахуй словам, ждите д...
 24 декабря. \n\nРыбы сегодня отжигают по полно...
 23 декабря. \n\nОчень трудно сохранять полный ...
 22 декабря.\n\nНу хуля тут скажешь, вы вызывае...
 21 декабря. \n\nВаши успехи вызывают дикий пис...
 20 декабря. \n\nСегодня склонны заниматься лич...
 19 декабря. \n\nВскоре Рыбы будут вознагражден...
 18 декабря. \n\nХватит играть с удачей в перет...
 17 декабря. \n\nСтоит пообщаться со старыми др...
 16 декабря. \n\nОтдайте предпочтение старым-до...
 15 декабря. \n\nВезде, где можно кого-нибудь п...
 14 декабря. \n\nНе пытаетесь казаться лучше, ч...
 13 декабря. \n\nНе тупите в потолок, вы будете...
 12 декабря. \n\nЛибо исправьте то, что вы натв...
 11 декабря. \n\nРыба всему голова, все заебком...
 10 декабря. \n\nВокруг развелось дохуя непоним...
 9 декабря. \n\nВас ожидает счастливый случай. ...
 8 декабря. \n\nПостарайтесь с пониманием отнес...
 7 декабря. \n\nВы сияете как бриллиант в тысяч...
 6 декабря. \n\nПрекрасный день как для завязыв...
 5 декабря. \n\nВскоре вы встретите того, кто в...
 4 декабря. \n\nВы хуярите вперёд и только впер...
 3 декабря. \n\nВас любят не на шутку! Кончайте...
 2 декабря. \n\nСила, которую вы сегодня обрете...
 1 декабря. \n\nСегодня дорогой вам человек мож...
 30 ноября. \n\nДо Рыбок наконец-то должно дойт...
 29 ноября. \n\nВсё чётко, красиво и заебато. У...
 28 ноября. \n\nИсправьте то, что вы натворили ...
 27 ноября. \n\nСегодня вы в числе везунчиков, ...
 26 ноября. \n\nВокруг вас друзья и всё будет о...
 25 ноября. \n\nВ течении ближайшего времени ра...
 24 ноября. \n\nВы сегодня будете лидером, даже...
 23 ноября. \n\nСегодня можно позволить себе ма...
 22 ноября. \n\nРыбкам стоит улыбнуться. Они – ...
 21 ноября.\n\nСитуация начинает действовать на...
 20 ноября. \n\nРыбок нельзя обижать. Иначе все...
 19 ноября. \n\nКакие бы ни были намерения, всё...
 18 ноября. \n\nБудут напрягать бывшие - скажит...
 17 ноября. \n\nВас сегодня хуй удержишь. Как в...
 16 ноября.\n\nС утра вместе с любимыми трусами...
 15 ноября. \n\nУ вас будет охуенное настроение...
 14 ноября. \n\nВас кто-то очень любит. А вы ни...
 13 ноября. \n\nВы хуярите вперёд и только впер...
 12 ноября.\n\nВозможно какая-то сука переметну...
 11 ноября. \n\nРыбам иногда становится так кла...
 10 ноября. \n\nВы сегодня такие обояшки!! Звез...
 9 ноября. \n\nВечер стоит посвятить встрече со...
 8 ноября. \n\nКрасиво. Одно слово характеризуе...
 7 ноября. \n\nБлагодаря вашим стараниям будут ...
 6 ноября. \n\nСегодня все ваши душевные терзан...
 5 ноября. \n\nВас ожидает неожиданная и и прия...
 4 ноября.\nДаже если в последнее время вы чувс...
 3 ноября. \n\nЛюбви надо радоваться тогда, ког...
 2 ноября. \n\nВот как скучно будет в первой по...
 1 ноября. \n\nРыбы - охуенны, пиздаты и красив...
 31 октября.\n\nВ этот день вы легко примите ре...
 30 октября. \n\nЕбать, ваша удача сегодня на м...
 29 октября. \n\nВы находитесь во власти эмоций...
 28 октября. \n\nСегодня вы ранимы и чувствител...
 27 октября. \n\nЭмоциональный фон дня благопри...
 26 октября. \n\nОтличный день для того чтобы е...
 25 октября. \n\nНе обращайте внимание на тех, ...
 24 октября. \n\nРыбы уже не скучают по прошлом...
 23 октября. \n\nБерегите Рыбок, они настоящие ...
 22 октября. \n\nЕсли какой-то человек недавно ...
 21 октября\n\nПрисмотрись сегодня к тем, с кем...
 20 октября \n\nХватит париться по мелочам, веч...
 19 октября. \n\nЭтот день охуенен. Он связан с...
 18 октября. \n\nСегодня есть два способа коман...
 17 октября. \n\nНе осуждайте друзей за поступк...
 16 октября. \n\nСегодня самое время разъебать ...
 15 октября. \n\nВы сегодня магнит для привлече...
 14 октября\n\nПостоянно ссориться, но безумно\...
 13 октября\n\nРыбы уже боятся любить, знаю как...
 12 октября. \n\nзвезды готовы преподнести вам ...
 11 октября. \n\nВы обаяшка. Действительно, сег...
 10 октября. \n\nВы сегодня рыба моей мечты! Вы...
 9 октября. \n\nРыбы, помните сегодня: не выбир...
 8 октября. \n\nЛюди если не любите Рыб..не дер...
 7 октября. \n\nНи куда вы от Рыбок не денетесь...
 6 октября. \n\nДа, Рыбы такие. Будут улыбаться...
 5 октября. \n\nЗа любую критику вы сегодня гот...
